sname,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c15,c16,c17
A0101 專業聯合中心,3428,40,114,223,374,537,707,866,1014,1175,1331,1474,1618,1755,1920,2032
A0102 香港公園體育館,4973,52,131,261,467,663,841,1025,1243,1501,1730,1975,2193,2355,2580,2834
A0201 高主教書院,7266,86,313,771,771,1121,1421,1734,1989,2351,2748,3203,3447,3807,4313,4767
A0301 香港真光幼稚園(堅道),4414,44,163,329,506,678,885,1169,1308,1489,1705,1905,2111,2317,2521,2805
A0302 食物環境衛生署食物安全中心(醫院道辦事處),1750,17,56,108,174,245,327,396,469,567,661,748,823,895,987,1056
A0401 德瑞國際學校山頂校舍,1191,22,35,62,106,175,228,271,303,365,421,490,545,584,643,703
A0501 西營盤社區綜合大樓社區會堂,7591,112,251,507,820,1153,1527,1936,2314,2719,3093,3412,3785,3785,4492,4959
A0601 香港基督教女青年會西環綜合社會服務處,7094,113,327,634,928,1257,1604,1913,2218,2549,2854,3130,3443,3814,4210,4555
A0701 士美非路體育館,9112,190,496,868,1211,1557,1998,2358,2721,3060,3528,3920,4308,4704,5213,5641
A0801 堅尼地城社區綜合大樓 (綜合用途室),7619,114,327,600,970,1376,1674,2046,2434,2778,3159,3448,3763,4135,4558,4926
A0901 維多利亞（寶翠園）幼稚園,9778,96,341,659,945,1313,1607,1935,2250,2569,2949,3336,3751,4133,4520,5892
A1001 石塘咀體育館,9938,178,419,699,1186,1460,1813,2147,2147,2907,3385,3782,4152,4400,4979,5770
A1101 中西區及離島區社會保障辦事處,4907,74,210,358,548,748,960,1156,1377,1578,1751,1948,2144,2349,2540,2721
A1102 中山紀念公園體育館,2327,51,105,161,254,339,416,495,573,663,766,853,933,1038,1140,1231
A1201 上環郵政局,5315,59,196,382,620,863,1111,1362,1594,1858,2092,2357,2570,2784,3029,3219
A1301 新會商會學校,1991,42,89,158,237,315,392,471,558,648,764,845,926,997,1085,1158
A1302 聖公會聖馬太小學,4532,52,163,335,554,748,987,1198,1428,1644,1816,1974,2187,2380,2559,2752
A1401 基督教香港崇真會救恩堂及救恩學校,6583,114,287,533,833,1183,1443,1443,1987,2289,2494,2789,3122,3435,3863,4131
A1501 李陞小學,5166,75,251,400,646,889,1138,1368,1583,1819,2007,2195,2441,2677,2988,3288
B0101 軒尼詩道官立小學,5521,48,185,365,607,826,1083,1302,1544,1816,2036,2239,2424,2642,2834,3020
B0201 鄧肇堅維多利亞官立中學,5057,70,193,372,554,782,979,1191,1435,1643,1893,2172,2369,2478,2642,2813
B0301 前灣仔學校,7332,0,261,490,673,1162,1362,1362,1886,2180,2757,3069,3069,3616,3787,4031
B0401 皇仁書院,8029,86,253,498,828,1147,1522,1809,2194,2541,2928,3338,3636,3991,4400,4835
B0501 港島兒童蒙特梭利學校,1491,19,62,108,184,272,343,410,488,558,635,700,775,826,900,989
B0502 勵德邨邨榮樓有蓋停車場,4252,78,243,418,628,776,962,1162,1372,1551,1684,1874,2105,2253,2426,2595
B0601 灣仔區文娛康樂體育會,5046,49,143,255,455,644,811,1001,1173,1420,1614,1820,1988,2144,2346,2549
B0701 港灣婦女會,5756,67,192,393,609,840,1091,1342,1558,1773,2066,2372,2632,2899,3133,3586
B0801 中華基督教會公理高中書院,6060,70,182,356,650,929,1162,1413,1709,2032,2256,2589,2910,3203,3490,3863
B0901 禮頓山社區會堂,5438,54,163,312,522,738,991,1315,1647,1907,2152,2442,2641,2928,3224,3627
B1001 黃泥涌體育館,5202,68,225,345,546,796,1043,1250,1497,1722,1965,2186,2377,2604,2846,3113
B1101 寶血小學,1186,32,58,100,152,228,293,331,377,435,498,541,582,627,709,759
B1102 香港青少年服務處成和青少年中心,1742,36,63,95,163,211,294,369,461,562,628,702,759,827,909,986
B1201 灣仔郵政局,4718,70,183,337,528,725,940,1147,1343,1576,1755,1955,2162,2381,2602,2823
B1301 循道衛理中心,4801,83,216,386,629,869,1061,1233,1428,1633,1830,2023,2203,2404,2623,2769
C0101 東區少年警訊會所,8948,97,288,537,805,1057,1343,1611,1939,2200,2529,2827,3116,3461,3822,5529
C0201 聖安娜中英文幼稚園,5092,69,197,336,528,730,954,1137,1362,1583,1848,2076,2310,2570,2827,3343
C0202 太古城郵政局,4946,83,169,323,543,754,1000,1189,1400,1624,1875,2082,2304,2516,2755,3351
C0301 西灣河健康中心,6589,87,128,392,828,1125,1426,1814,2054,2341,2672,2982,3349,3579,3871,4705
C0401 中華基督教會基灣小學 (愛蝶灣),11461,153,397,774,1213,1725,2159,2612,3103,3590,4119,4577,5000,5510,6044,6679
C0501 筲箕灣郵政局,5720,85,225,401,632,867,1188,1424,1721,1998,2198,2509,2740,3000,3300,3548
C0601 愛秩序灣官立小學,5799,66,166,347,589,810,1022,1222,1518,1764,1998,2233,2494,2772,3109,3466
C0602 筲箕灣官立小學,6096,88,281,520,785,1067,1306,1566,1781,2036,2297,2533,2761,3012,3245,3446
C0701 嶺南中學,10859,132,397,786,1195,1834,2321,2957,3486,4099,4705,5278,5880,6471,7059,8192
C0801 聖公會李福慶中學,8217,156,356,642,902,1261,1592,1944,2272,2611,2990,3320,3657,3969,4387,4731
C0901 福建中學 (小西灣),9351,96,246,531,926,1377,1778,2198,2657,3181,3664,4109,4544,4921,5362,6148
C1001 小西灣社區會堂,10342,114,337,683,1051,1444,1846,2319,2679,3125,3595,4049,4644,5111,5444,5885
C1101 嶺南衡怡紀念中學,11300,191,487,868,1315,1830,2304,2763,3236,3768,4366,4849,5353,5807,6431,7086
C1201 救世軍中原慈善基金學校,8549,114,287,601,877,1190,1492,1798,2182,2558,2838,3168,3505,3847,4189,4580
C1301 文理書院 (香港),9180,126,391,686,1096,1457,1760,2117,2461,2819,3155,3517,3783,4150,4445,4773
C1401 鰂魚涌體育館,10450,172,431,792,1212,1619,1993,2448,2876,3316,3776,4270,4698,5213,5659,6090
C1501 閩僑中學,7007,96,273,459,742,1077,1349,1719,1987,2419,2786,3137,3506,3806,4195,4726
C1601 金文泰中學,6418,106,248,478,740,1077,1324,1603,1937,2267,2603,2905,3191,3478,3771,4226
C1701 銅鑼灣社區中心,4185,61,175,304,529,730,892,1084,1267,1459,1629,1808,2008,2192,2372,2569
C1801 渣華道體育館,10217,167,433,779,1188,1593,1916,2313,2678,3122,3568,3914,4282,4762,5174,5540
C1802 顯理中學,13068,218,583,1103,1686,2308,2865,3476,4126,4814,5428,5992,6563,7186,7840,8390
C1901 北角衞理小學,5024,52,203,350,549,763,1017,1231,1490,1752,1969,2206,2483,2724,2949,3197
C2001 香港遊樂場協會賽馬會北角港運城青少年綜合服務中心,3286,47,136,288,438,597,749,934,1115,1272,1447,1577,1757,1931,2094,2265
C2101 啟基學校 (港島),9361,144,300,682,1125,1633,2057,2057,2057,3614,4000,4441,4768,5204,5676,6108
C2201 丹拿山循道學校,4867,51,202,379,658,859,1138,1367,1625,1811,2016,2197,2391,2576,2775,3020
C2301 北角官立小學,6290,111,258,497,803,1077,1338,1593,1878,2166,2432,2668,2922,3231,3509,3786
C2401 鰂魚涌社區會堂,8623,109,478,790,1199,1683,2151,2520,2970,3532,3947,4303,4721,5134,5550,5941
C2501 佛教中華康山學校,5578,98,232,232,876,1242,1547,1702,2063,2319,2560,2888,3170,3440,3852,4161
C2601 太古小學,9730,132,328,676,1101,1745,2183,2794,3277,3632,4164,4715,5102,5632,6153,6870
C2701 青松興東幼稚園,6175,93,253,486,718,967,1157,1407,1723,1988,2255,2492,2773,3030,3351,3681
C2702 伊斯蘭徐錦享紀念幼稚園,6365,85,222,471,705,934,1143,1448,1719,1986,2243,2465,2793,3062,3347,3805
C2801 西灣河體育館,11762,150,466,823,1421,1889,2404,2869,3419,3948,4472,4980,5548,6059,6607,7199
C2901 勵志會梁李秀娛紀念小學,7492,88,281,523,831,1177,1443,1732,2011,2328,2634,2962,3274,3600,3956,4275
